Id	Form	Lemma	UPosTag	XPosTag	Feats	Head	DepRel	Deps	Misc
235	что	что	SCONJ	_	_	_	_	_	words-ish#@ish1984f#293.489#293.757
236	вот	вот	PART	_	_	_	_	_	words-ish#@ish1984f#293.757#294.025
237	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	words-ish#@ish1984f#294.025#294.293
238	хочу	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#294.293#294.561
239	чтобы	чтобы	SCONJ	_	Mood=Cnd	_	_	_	words-ish#@ish1984f#294.561#294.829
240	археологи	археолог	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	words-ish#@ish1984f#294.829#295.097
241	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#295.097#295.365
242	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#295.365#295.633
243	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#295.633#295.901
244	через	через	ADP	_	_	_	_	_	words-ish#@ish1984f#295.901#296.169
245	тысячу	тысяча	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#296.169#296.437
246	лет	год	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	words-ish#@ish1984f#296.437#296.705
247	раскопали	раскопать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#296.705#296.973
248	и	и	CCONJ	_	_	_	_	_	words-ish#@ish1984f#296.973#297.241
249	нашли	найти	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#297.241#297.509
250	что-то	что-то	PRON	_	Case=Acc	_	_	_	words-ish#@ish1984f#297.509#297.777
251	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#297.777#298.045
252	что	что	PRON	_	Case=Nom	_	_	_	words-ish#@ish1984f#298.045#298.313
253	сделал	делать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#298.313#298.581
254	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	words-ish#@ish1984f#298.581#298.849
255	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#298.849#299.117
256	вот	вот	PART	_	_	_	_	_	words-ish#@ish1984f#299.117#299.385
257	на	на	ADP	_	_	_	_	_	words-ish#@ish1984f#299.385#299.653
258	сегодняш...	сегодняшний	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#299.653#299.926
259	чего	что	PRON	_	Case=Gen	_	_	_	words-ish#@ish1984f#301.097#301.385
260	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#301.385#301.673
261	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	words-ish#@ish1984f#301.673#301.961
262	уже	уже	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#301.961#302.249
263	по-другому	по-другому	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#302.249#302.537
264	говоришь	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#302.537#302.829
265	что	что	SCONJ	_	_	_	_	_	words-ish#@ish1984f#307.17#307.682
266	чего	что	PRON	_	Case=Gen	_	_	_	words-ish#@ish1984f#319.902#320.277
267	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	words-ish#@ish1984f#320.277#320.652
268	хочешь	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#320.652#321.027
269	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#321.027#321.402
270	какое	какой	DET	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#321.402#321.78
271	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#327.951#328.257
272	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#328.257#328.563
273	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	words-ish#@ish1984f#328.563#328.869
274	хочешь	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#328.869#329.175
275	придумать	придумать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	words-ish#@ish1984f#329.175#329.481
276	свой	свой	DET	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#329.481#329.787
277	айфон	айфон	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#329.787#330.093
278	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#330.093#330.399
279	который	который	PRON	_	Case=Nom	_	_	_	words-ish#@ish1984f#330.399#330.705
280	изменит	изменить	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#330.705#331.011
281	мир	мир	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#331.011#331.317
282	ну	ну	PART	_	_	_	_	_	words-ish#@ish1984f#331.78#331.979
283	не	не	PART	_	_	_	_	_	words-ish#@ish1984f#331.979#332.178
284	телефон	телефон	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#332.178#332.377
285	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	words-ish#@ish1984f#332.377#332.576
286	имею	иметь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#332.576#332.775
287	в	в	ADP	_	_	_	_	_	words-ish#@ish1984f#332.775#332.974
288	виду	вид	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#332.974#333.173
289	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#333.173#333.372
290	вот	вот	PART	_	_	_	_	_	words-ish#@ish1984f#333.372#333.571
291	что-то	что-то	PRON	_	Case=Acc	_	_	_	words-ish#@ish1984f#333.571#333.77
292	подобное	подобный	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#333.77#333.975
293	давай	давать	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#366.926#367.249
294	все-таки	все-таки	PART	_	_	_	_	_	words-ish#@ish1984f#367.249#367.572
295	назовем	назвать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#367.572#367.895
296	что-то	что-то	PRON	_	Case=Nom	_	_	_	words-ish#@ish1984f#367.895#368.218
297	одно	один	DET	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#368.218#368.541
298	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#368.541#368.864
299	что	что	PRON	_	Case=Nom	_	_	_	words-ish#@ish1984f#368.864#369.187
300	тебе	ты	PRON	_	Case=Dat|Number=Sing|Person=2	_	_	_	words-ish#@ish1984f#369.187#369.51
301	кажется	казаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	words-ish#@ish1984f#369.51#369.833
302	что	что	SCONJ	_	_	_	_	_	words-ish#@ish1984f#369.833#370.156
303	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	words-ish#@ish1984f#370.156#370.479
304	этот	этот	DET	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#370.479#370.802
305	мир	мир	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#370.802#371.125
306	уже	уже	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#371.125#371.448
307	изменил	изменить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#371.448#371.78
308	из	из	ADP	_	_	_	_	_	words-ish#@ish1984f#372.512#372.926
309	сделанной	делать	VERB	_	Aspect=Perf|Case=Gen|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass	_	_	_	words-ish#@ish1984f#373.17#373.625
310	работы	работа	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#373.625#374.08
311	твоей	твой	DET	_	Case=Gen|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#374.08#374.536
312	нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#8.666#9.523
313	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#9.623#9.901
314	классная	классный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#9.901#10.179
315	возможность	возможность	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#10.179#10.457
316	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#10.457#10.735
317	главная	главный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#10.735#11.013
318	ценность	ценность	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#11.013#11.291
319	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#11.291#11.569
320	сто	сто	NUM	_	Case=Nom	_	_	_	words-aal#@aal1975m#11.569#11.847
321	тыщ	тысяча	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	words-aal#@aal1975m#11.847#12.125
322	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#12.125#12.403
323	очень	очень	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#12.403#12.681
324	маленькие	маленький	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	words-aal#@aal1975m#12.681#12.959
325	деньги	деньги	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	_	_	_	words-aal#@aal1975m#12.959#13.237
326	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#13.237#13.515
327	и	и	CCONJ	_	_	_	_	_	words-aal#@aal1975m#13.515#13.793
328	на	на	ADP	_	_	_	_	_	words-aal#@aal1975m#13.793#14.071
329	них	они	PRON	_	Case=Acc|Number=Plur|Person=3	_	_	_	words-aal#@aal1975m#14.071#14.349
330	нельзя	нельзя	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#14.349#14.627
331	прожить	прожить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	words-aal#@aal1975m#14.627#14.91
332	и	и	CCONJ	_	_	_	_	_	words-aal#@aal1975m#14.99#15.41
333	тем	то	PRON	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#15.41#15.83
334	более	более	ADV	_	Degree=Cmp	_	_	_	words-aal#@aal1975m#15.83#16.25
335	держать	держать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	words-aal#@aal1975m#16.25#16.67
336	дизайн-студию	дизайн-студия	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#16.67#17.09
337	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#17.09#17.51
338	никакого	никакой	DET	_	Case=Gen|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#17.51#17.93
339	размера	размер	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#17.93#18.35
340	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	words-aal#@aal1975m#18.35#18.77
341	просто	просто	PART	_	_	_	_	_	words-aal#@aal1975m#18.77#19.19
342	не	не	PART	_	_	_	_	_	words-aal#@aal1975m#19.19#19.61
343	сможешь	мочь	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=2|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#19.61#20.039
344	ээ	ээ	INTJ	_	_	_	_	_	words-aal#@aal1975m#20.067#20.378
345	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#20.378#20.689
346	даже	даже	PART	_	_	_	_	_	words-aal#@aal1975m#20.689#21.0
347	при	при	ADP	_	_	_	_	_	words-aal#@aal1975m#21.0#21.311
348	том	то	PRON	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#21.311#21.622
349	что	что	SCONJ	_	_	_	_	_	words-aal#@aal1975m#21.622#21.933
350	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	words-aal#@aal1975m#21.933#22.244
351	щас	сейчас	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#22.244#22.555
352	сделали	делать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#22.555#22.866
353	уже	уже	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#22.866#23.177
354	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#23.177#23.488
355	двести	двести	NUM	_	Case=Nom	_	_	_	words-aal#@aal1975m#23.488#23.799
356	сорок	сорок	NUM	_	Case=Nom	_	_	_	words-aal#@aal1975m#23.799#24.11
357	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#24.11#24.421
358	что	что	SCONJ	_	_	_	_	_	words-aal#@aal1975m#24.421#24.732
359	ли	ли	PART	_	_	_	_	_	words-aal#@aal1975m#24.732#25.043
360	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#25.043#25.354
361	проектов	проект	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	words-aal#@aal1975m#25.354#25.665
362	и	и	CCONJ	_	_	_	_	_	words-aal#@aal1975m#25.665#25.976
363	получили	получить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#25.976#26.287
364	соответственно	соответственно	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#26.287#26.598
365	двадцать	двадцать	NUM	_	Case=Nom	_	_	_	words-aal#@aal1975m#26.598#26.909
366	четыре	четыре	NUM	_	Case=Nom	_	_	_	words-aal#@aal1975m#26.909#27.22
367	миллиона	миллион	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#27.22#27.534
368	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#27.683#28.019
369	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#28.019#28.355
370	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#28.355#28.691
371	смехотворно	смехотворно	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#28.691#29.029
372	когда	когда	SCONJ	_	_	_	_	_	words-aal#@aal1975m#29.196#29.432
373	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	words-aal#@aal1975m#29.432#29.668
374	продаем	продавать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#29.668#29.904
375	логотип	логотип	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#29.904#30.14
376	за	за	ADP	_	_	_	_	_	words-aal#@aal1975m#30.14#30.376
377	сто	сто	NUM	_	Case=Acc	_	_	_	words-aal#@aal1975m#30.376#30.612
378	тысяч	тысяча	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	words-aal#@aal1975m#30.612#30.848
379	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#30.848#31.084
380	можно	можно	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#31.084#31.32
381	сделать	делать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	words-aal#@aal1975m#31.32#31.556
382	только	только	PART	_	_	_	_	_	words-aal#@aal1975m#31.556#31.792
383	в	в	ADP	_	_	_	_	_	words-aal#@aal1975m#31.792#32.028
384	том	тот	DET	_	Case=Loc|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#32.028#32.264
385	случае	случай	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#32.264#32.5
386	если	если	SCONJ	_	_	_	_	_	words-aal#@aal1975m#32.5#32.737
387	и	и	PART	_	_	_	_	_	words-aal#@aal1975m#32.786#33.001
388	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#33.001#33.216
389	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#33.216#33.431
390	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	words-aal#@aal1975m#33.431#33.646
391	долго	долго	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#33.646#33.861
392	к	к	ADP	_	_	_	_	_	words-aal#@aal1975m#33.861#34.076
393	этому	это	PRON	_	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#34.076#34.291
394	шли	идти	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#34.291#34.508
395	когда	когда	SCONJ	_	_	_	_	_	words-aal#@aal1975m#34.588#34.838
396	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	words-aal#@aal1975m#34.838#35.088
397	не	не	PART	_	_	_	_	_	words-aal#@aal1975m#35.088#35.338
398	обсуждаем	обсуждать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#35.338#35.588
399	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#35.588#35.838
400	с	с	ADP	_	_	_	_	_	words-aal#@aal1975m#35.838#36.088
401	клиентом	клиент	NOUN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#36.088#36.338
402	потому	потому	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#36.338#36.588
403	что	что	SCONJ	_	_	_	_	_	words-aal#@aal1975m#36.588#36.838
404	самое	самый	ADJ	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#36.838#37.088
405	дорогое	дорогой	ADJ	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#37.088#37.338
406	в	в	ADP	_	_	_	_	_	words-aal#@aal1975m#37.338#37.588
407	дизайне	дизайн	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#37.588#37.838
408	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#37.838#38.088
409	и	и	CCONJ	_	_	_	_	_	words-aal#@aal1975m#38.088#38.338
410	вообще	вообще	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#38.338#38.588
411	в	в	ADP	_	_	_	_	_	words-aal#@aal1975m#38.588#38.838
412	любой	любой	DET	_	Case=Loc|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#38.838#39.088
413	проектной	проектный	ADJ	_	Case=Loc|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#39.088#39.338
414	деятельности	деятельность	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#39.338#39.588
415	пиздеж	пиздеж	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#40.009#40.396
416	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	words-aal#@aal1975m#40.432#40.755
417	садятся	садиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	words-aal#@aal1975m#40.755#41.078
418	в	в	ADP	_	_	_	_	_	words-aal#@aal1975m#41.078#41.401
419	переговорке	переговорка	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#41.401#41.724
420	и	и	CCONJ	_	_	_	_	_	words-aal#@aal1975m#41.724#42.047
421	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	words-aal#@aal1975m#42.047#42.37
422	могут	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#42.37#42.693
423	сидеть	сидеть	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	words-aal#@aal1975m#42.693#43.016
424	там	там	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#43.016#43.339
425	месяцами	месяц	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Plur	_	_	_	words-aal#@aal1975m#43.339#43.666
426	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	words-aal#@aal1975m#43.711#43.952
427	думаю	думать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#43.952#44.193
428	так	так	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#44.193#44.434
429	а	а	CCONJ	_	_	_	_	_	words-aal#@aal1975m#44.434#44.675
430	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	words-aal#@aal1975m#44.675#44.916
431	думаю	думать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#44.916#45.157
432	сяк	сяк	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#45.157#45.398
433	а	а	CCONJ	_	_	_	_	_	words-aal#@aal1975m#45.398#45.639
434	давайте	давать	VERB	_	Aspect=Imp|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#45.639#45.88
435	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#45.88#46.121
436	запишем	записывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#46.121#46.362
437	в	в	ADP	_	_	_	_	_	words-aal#@aal1975m#46.362#46.603
438	протокол	протокол	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#46.603#46.844
439	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#46.844#47.085
440	вот	вот	PART	_	_	_	_	_	words-aal#@aal1975m#47.085#47.326
441	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#47.326#47.567
442	ну	ну	PART	_	_	_	_	_	words-aal#@aal1975m#47.567#47.808
443	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#47.808#48.049
444	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#48.049#48.29
445	то	то	DET	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#48.29#48.531
446	что	что	PRON	_	Case=Acc	_	_	_	words-aal#@aal1975m#48.531#48.772
447	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	words-aal#@aal1975m#48.772#49.013
448	ненавижу	ненавидеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#49.013#49.254
449	и	и	PART	_	_	_	_	_	words-aal#@aal1975m#49.254#49.495
450	поэтому	поэтому	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#49.495#49.736
451	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	words-aal#@aal1975m#49.736#49.977
452	пришла	прийти	VERB	_	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#49.977#50.218
453	в	в	ADP	_	_	_	_	_	words-aal#@aal1975m#50.218#50.459
454	голову	голова	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#50.459#50.7
455	мысль	мысль	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#50.7#50.941
456	продавать	продавать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	words-aal#@aal1975m#50.941#51.182
457	дизайн	дизайн	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#51.182#51.423
458	не	не	PART	_	_	_	_	_	words-aal#@aal1975m#51.423#51.664
459	обсуждая	обсуждать	VERB	_	Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act	_	_	_	words-aal#@aal1975m#51.664#51.908
460	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#51.939#52.285
461	значит	значить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#52.285#52.631
462	что	что	SCONJ	_	_	_	_	_	words-aal#@aal1975m#52.631#52.977
463	у	у	ADP	_	_	_	_	_	words-aal#@aal1975m#52.977#53.323
464	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	words-aal#@aal1975m#53.323#53.669
